Name,Gender,Nationality,Birth Year,Death Year
Iyola,Male,Canadian Inuit,1933,2000
Izis,Male,French,1911,1980
Shigeru Izumi,Male,Japanese,1922,1995
Christian Jaccard,Male,French,1939,
Joseph Jachna,Male,American,1935,2016
Bill Jacklin,Male,British,1943,
Robert Jacks,Male,Australian,1943,
Gerald Jackson,Male,American,1943,
Jean Jackson,,Nationality unknown,,
Martin Jackson,Male,American,1919,1986
Oliver Jackson,Male,American,1935,
William Henry Jackson,Male,American,1843,1942
David Jacob,Male,American,1928,
Max Jacob,Male,French,1876,1944
Walter Jacob,Male,German,1893,1964
Aldo Jacober,Male,Italian,1939,
Lotte Jacobi,Female,American,1896,1990
Arne Jacobsen,Male,Danish,1902,1971
Alexandra Nikolaevna Jacobson,Female,Russian,,
James J. Jacobson,Male,American,,
J. Jacquelin,,French,,
Alain Jacquet,Male,French,1939,2008
Yvonne Jacquette,Female,American,1934,
Willy Jaeckel,Male,German,1888,1944
Bernhard Jaeger,Male,German,,
N. Jay Jaffee,Male,American,1921,1999
Shirley Jaffe,Female,American,1923,2016
Christopher P. James,Male,American,1947,
Marcel Janco,Male,Israeli,1895,1984
Sidney Janis,Male,American,1896,1989
Tony Jannetti,Male,American,1947,
Alain Jans,Male,French,,
Angela Jansen,Female,American,1929,
Franz Maria Jansen,Male,German,1885,1958
Horst Janssen,Male,German,1929,1995
Richard Janthur,Male,German,1883,1956
Rudolph Janu,Male,American,1934,
Théophile Jaquen,Male,French,,
Richards Jarden,Male,American,1947,
Evandro Carlos Jardim,Male,Brazilian,,
Alfred Jarry,Male,French,1873,1907
James Jarvaise,Male,American,1925,
Valerie Jaudon,Female,American,1945,
Alexei Jawlensky,Male,Russian,1864,1941
Marcel Jean,Male,French,1900,1993
Pierre Jeanneret,Male,Swiss,1896,1967
Jeff (Jeff Russell),Male,American,1942,
Werner Jeker,Male,Swiss,1944,
Paul Jenkins,Male,American,1923,2012
Thomas Jenkins,Male,American,1953,2008
Neil Jenney,Male,American,1945,
Payne Jennings,,British,,
Alfred Jensen,Male,American,1903,1981
Bill Jensen,Male,American,1945,
Jacob Jensen,Male,Danish,1926,2015
Floris Jespers,Male,Belgian,1889,1965
Oscar Jespers,Male,Belgian,1887,1970
Jess,Male,American,1923,2004
Luis Jimenez,Male,American,1940,2006
Max Jiménez,Male,Costa Rican,1908,1949
Edith Jimenez,Female,Paraguayan,1918,2004
Carl H. Johansen III,,American,,
Patricia Johanson,Female,American,1940,
Augustus John,Male,British,1878,1961
Gwen John,Female,British,1876,1939
Jiri John,Male,Czech,1923,1972
Jasper Johns,Male,American,1930,
Clifton Johnson,Male,American,1865,1940
Daniel LaRue Johnson,Male,American,1938,
Lester F. Johnson,Male,American,1919,2010
Philip Johnson,Male,American,1906,2005
Ray Johnson,Male,American,1927,1995
Ynez Johnston,Female,American,1920,
Joan Jonas,Female,American,1936,
Allen Jones,Male,British,1937,
E. Powis Jones,Male,American,1919,
Harold Jones,Male,American,1940,
Joe Jones,Male,American,1934,1993
John Paul Jones,Male,American,1924,1999
Pirkle Jones,Male,American,1914,2009
Robert Edmond Jones,Male,American,1887,1954
Charles Jongejans,Male,Dutch,,
Raymond Jonson,Male,American,1891,1982
Sven Jonson,Male,Swedish,1902,1981
Paul Joostens,Male,Dutch,1889,1960
Raymond Jordan,Male,American,1895,
Asger Jorn,Male,Danish,1914,1973
Ken Josephson,Male,American,1932,
Henri-Gustave Jossot,Male,French,1866,1951
Bernard Joubert,Male,French,1946,
Carl Jakob Jucker,Male,Swiss,1902,1997
Donald Judd,Male,American,1928,1994
Finn Juhl,Male,Danish,1912,1989
Sven-Eric Juhlin,Male,Swedish,1940,
Mervin Jules,Male,American,1912,1994
Bishin Jumonji,Male,Japanese,1947,
Dora Jung,Female,Finnish,1906,1980
Theodor Jung,Male,American,1906,1996
J. P. Junot,,French,,
Joan Junyer,Male,American,1904,1994
Robert Kabak,Male,American,1930,
Reuben Kadish,Male,American,1913,
Menashe Kadishman,Male,Israeli,1932,2015
Kafemann,,Nationality unknown,,
Frida Kahlo,Female,Mexican,1907,1954
Louis I. Kahn,Male,American,1901,1974
Max Kahn,Male,American,1902,2005
Richard Kahn,Male,American,1947,
Wolf Kahn,Male,American,1927,
Jacob Kainen,Male,American,1909,2001
Leopold von Kalckreuth,Male,German,1855,1928
Viaceslav Kalinin,Male,Russian,1939,
Horst-Egon Kalinowski,Male,German,1924,2013
Simpson Kalisher,Male,American,1926,
Richard Kalvar,Male,American,1944,
Yusaku Kamekura,Male,Japanese,1915,1997
Takahisa Kamijyo,Male,Japanese,1940,
Gerome Kamrowski,Male,American,1914,2004
Consuelo Kanaga,Female,American,1894,1978
Kanamori Yoshio,Male,Japanese,1922,
Eizi Kanbayashi,Male,Japanese,,
Vasily Kandinsky,Male,French,1866,1944
John Kane,Male,American,1860,1934
Bob Kane,Male,American,1937,2013
Matsumi Kanemitsu,Male,American,1922,1992
Sam Kaner,Male,American,,
Mitsuo Kano,Male,Japanese,1933,
Alexander Kanoldt,Male,German,1881,1939
Morris Kantor,Male,American,1896,1974
Tim Kantor,Male,American,1932,
Herbert W. Kapitzki,Male,Nationality unknown,,
Anatoli Lvovich Kaplan,Male,Russian,1902,1980
Jerome Kaplan,Male,American,1920,
Peggy Jarrell Kaplan,Female,American,1943,
Anish Kapoor,Male,British,1954,
Susan Kaprov,Female,American,1946,
Allan Kaprow,Male,American,1927,2006
Janusz Kapusta,Male,Polish,1951,
Erica Karawina,Female,German,1904,2003
Dennis Kardon,Male,American,1950,
Bernard Karfiol,Male,American,1886,1952
Karhula-Iitala company design,,Finnish,,
Wolf Karnagel,Male,German,1940,
G. Karquel,,French,,
Yousuf Karsh,Male,Canadian,1908,2002
Kasai,,Nationality unknown,,
Gertrude Käsebier,Female,American,1852,1934
Pentti Kaskipuo,Male,Finnish,1930,
Lajos Kassák,Male,Hungarian,1887,1967
Barbara Kasten,Female,American,1936,
Karl Kasten,Male,American,1916,2010
William Katavolos,Male,American,1924,
Eiichiro Katayama,,Nationality unknown,,
Koji Kato,Male,Japanese,,
Alex Katz,Male,American,1927,
Joel Katz,Male,Nationality unknown,,
Leo Katz,Male,American,1887,1982
Herbert Katzman,Male,American,1923,2004
E. McKnight Kauffer,Male,American,1890,1954
Craig Kauffman,Male,American,1932,2010
Donald  Kaufman,Male,American,1935,
Pettus Kaufman,,Nationality unknown,,
Willy Kaufmann,Male,Swiss,1932,
Max Kaus,Male,German,1891,1977
Kikuji Kawada,Male,Japanese,1933,
Kawakami Sumio,Male,Japanese,1895,1972
Kawanishi Hide,Male,Japanese,,
On Kawara,Male,Japanese,1933,
Takeshi Kawashima,Male,Japanese,1930,
J. P. Kayser Sohn,,German,1814,
Kayserzinn Workshop,,German,,
Kazuko,Female,Japanese,1942,
Jerry Kearns,Male,American,1943,
Pat Keely,Male,British,,
Kim Keever,Female,American,1950,
Kein,,American,,
Ernst Keller,Male,Swiss,1891,1968
Henry George Keller,Male,American,1869,1949
Douglas Kelley,Male,American,1928,
Mike Kelley,Male,American,1954,2012
Jean Kellogg,Female,American,1910,1995
Daniel Kelly,Male,American,1947,
Ellsworth Kelly,Male,American,1923,2015
James Kelly,Male,American,1913,
Leon Kelly,Male,American,1901,1982
Richard Kelly,Male,American,1910,1977
Sherman L. Kelly,Male,American,1869,1952
Paul Kelpe,Male,American,1902,1985
Richard Kemble,Male,American,1932,2007
Zoltan Kemeny,Male,Swiss,1907,1965
Roland Kempe,Male,Swedish,,
William Sargent Kendall,Male,American,1869,1938
Mel Kendrick,Male,American,1949,
Isamu Kenmochi,Male,Japanese,1912,1971
Clarence Kennedy,Male,American,1892,1972
Gene Kennedy,Male,American,1946,
Eric Henri Kennington,Male,British,1888,1960
Rockwell Kent,Male,American,1882,1971
Colleen Frances Kenyon,Female,American,1951,
György Kepes,Male,American,1906,2001
Juliet Kepes,Female,American,1919,1999
G. Ray Kerciu,Male,American,1933,
Eugène Nestor de Kermadec,Male,French,1899,1976
André Kertész,Male,American,1894,1985
Alan Kessler,Male,American,1945,
Jon Kessler,Male,American,1957,
Robert Glenn Ketchum,Male,American,1947,
Mar Jean Kettunen,Female,American,1926,
Bhupen P. Khakhar,Male,Indian,1934,2003
Krishen Khanna,Male,Indian,1925,
Henry Khudyakov,Male,Russian,1930,
Kiawak Ashoona,Male,Canadian,1933,
Michael Kidner,Male,British,1917,
Hubert Kiecol,Male,German,1950,
Anselm Kiefer,Male,German,1945,
William Kienbusch,Male,American,1914,1980
Edward Kienholz,Male,American,1927,1994
Günther Kieser,Male,German,1930,
Frederick Kiesler,Male,American,1890,1965
Ken Kiff,Male,British,1935,2001
Mokuma Kikuhata,Male,Japanese,1935,
Chris Killip,Male,British,1946,
Kenneth Kilstrom,Male,American,1922,1995
Tchah-Sup Kim,Male,Korean,1942,
Ihei Kimura,Male,Japanese,1901,1974
Kosuke Kimura,Male,Japanese,1936,
Risaburo Kimura,Male,Japanese,1924,
Shigeru Kimura,Male,Japanese,,
David Kindersley,Male,British,1915,
Bruce Anthony King,Male,Canadian,1934,
Phillip King,Male,British,1934,
W. B. King,,American,1880,1927
Dong Kingman,Male,American,1911,2000
Hazel Kingsbury,Female,American,1907,1982
Jonah Kinigstein,Male,American,1923,
Tomio Kinoshita,Male,Japanese,1923,2014
Darius Kinsey,Male,American,1869,1945
Martin Kippenberger,Male,German,1953,1997
Yasuhiro Kira,Male,Japanese,1947,
Michael Kirby,Male,American,1931,
Guenther C. Kirchberger,Male,German,1928,
Ernst Ludwig Kirchner,Male,German,1880,1938
Alain Kirili,Male,French,1946,
Eve Kirk,Female,British,1900,1969
Per Kirkeby,Male,Danish,1938,
Toshiyuki Kita,Male,Japanese,1942,
Shozo Kitadai,Male,Japanese,1921,2001
R. B. Kitaj,Male,American,1932,2007
Fumio Kitaoka,Male,Japanese,1918,2007
Poul Kjærholm,Male,Danish,1929,1980
Jóhannes Sveinsson Kjarval,Male,Icelandic,1885,1972
Charles Klabunde,Male,American,1934,
Konrad Klapheck,Male,German,,
Klara,,British,,
Gabi Klasmer,Female,Israeli,1950,
Felix Klee,Male,German,1907,1990
Paul Klee,Male,German,1879,1940
Ron Kleemann,Male,American,1937,2014
Allen Klein,Male,American,1938,
Cesar Klein,Male,German,1876,1954
David Klein,Male,American,1918,2005
Irwin B. Klein,Male,American,1933,1974
William Klein,Male,American,1928,
Yves Klein,Male,French,1928,1962
Richard Kleinberg,Male,American,1949,
Lea Kleiner,Female,Chilean,1929,
Paul Kleinschmidt,Male,German,1883,1949
Vera Klement,Female,American,,
Werner Klemke,Male,German,1917,
Walther Klemm,Male,German,1883,1957
Mark Klett,Male,American,1952,
Carl Heinz Kliemann,Male,German,1924,
Erika Giovanna Klien,Female,Austrian,1900,1957
Gustav Klimt,Male,Austrian,1862,1918
Franz Kline,Male,American,1910,1962
Max Klinger,Male,German,1857,1920
Stuart Klipper,Male,American,1941,
Gustav Kluge,Male,German,1947,
Sergei Senkin,Male,Russian,1894,1963
Berndt Klyvare,Male,Swedish,,
Stefan Knapp,Male,British,1921,1996
Karl Knaths,Male,American,1891,1971
Werner Knaupp,Male,German,1936,
Ernest Knee,Male,American,1917,1983
Gwen Knight,Female,American,1913,2005
Karla Knight,Female,American,1958,
Donald R. Knorr,Male,American,1922,
Charles Knowles,Male,American,1939,1958
Christopher Knowles,Male,American,1959,
Justin Knowles,Male,British,,
Jonathan Knowlton,Male,American,1937,
Win Knowlton,Male,American,1953,
Archibald Knox,Male,British,1864,1933
Jack Knox,Male,British,1936,
Yasuhide Kobashi,Male,Japanese,1931,
Kobayashi Riichiro,Male,Japanese,,
Robert Kobayashi,Male,American,1925,
Aleksander Kobzdej,Male,Polish,1920,1972
Kenneth Koch,Male,American,1925,2002
Benita Koch-Otte,Female,German,1892,1976
Reina Kochashian,Female,Nationality unknown,,
Karl Koehler,Male,American,1913,
Fritz Koenig,Male,German,1924,
W. Koenigstein,Male,Austrian,1944,
Ottokar Koeppen,Male,German,,
Karl Koepping,Male,German,1848,1914
Henry Koerner,Male,American,1915,1991
Jinkichi Koga,Male,Japanese,,
Moissey Kogan,Male,Russian,1879,1945
Oskar Kogoj,Male,Yugoslav,1942,
Gabriel Kohn,Male,American,1910,1975
Misch Kohn,Male,American,1916,
Nobuaki Kojima,Male,Japanese,1935,
Jurriaan Kok,Male,Dutch,1861,1919
Valto Kokko,,Finnish,1933,
Oskar Kokoschka,Male,Austrian,1886,1980
Jirí Kolár,Male,Czech,1914,2002
Georg Kolbe,Male,German,1877,1947
Stanislav Kolibal,Male,Czech,1925,
Käthe Kollwitz,Female,German,1867,1945
Ray Komai,Male,American,1918,
Komai Tetsuro,Male,Japanese,1920,1976
Ilhan Koman,Male,Turkish,1921,1986
Vitaly Komar,Male,American,1943,
Komar and Melamid,Male,American,,
Makoto Komatsu,Male,Japanese,1943,
Vladimir Michailovich Konashevich,Male,Russian,,
Bela Kondor,Male,Hungarian,1931,1972
Kasper König,Male,German,1940,
Akira Kono,Male,Japanese,,
Elaine de Kooning,Female,American,1920,1989
Willem de Kooning,Male,American,1904,1997
Benjamin Kopman,Male,American,1887,1965
Henning Koppel,Male,Danish,1918,1981
Chaim Koppelman,Male,American,1920,2009
Georg Koppmann,Male,German,1842,1909
Schlomo Koren,Male,Israeli,1932,
Gajin Kosaka,Male,Japanese,1877,1953
Mark Kostabi,Male,American,1960,
Claire Wagner Kosterlitz,Female,American,1903,1997
Lewis Kostiner,Male,American,1950,
Takehisa Kosugi,Male,Japanese,1938,
Joseph Kosuth,Male,American,1945,
Josef Koudelka,Male,Czech,1938,
Jannis Kounellis,Male,Greek,1936,
Ron Kowalke,Male,American,1936,
Antoni Kowalski,Male,Polish,1957,
Ljuba Kozintzeva-Ehrenburg,Female,Russian,1900,1970
Joyce Kozloff,Female,American,1942,
Kirsten Kraa,Female,American,1941,
Frans Krajcberg,Male,Brazilian,1921,
William E. Krallman,Male,American,1925,
Margia Kramer,Female,American,1936,
Lee Krasner,Female,American,1908,1984
Dimitri Mikhailovich Krasnopevtsev,Male,Russian,1925,1995
Jovan Kratohvil,Male,Yugoslav,1924,1998
George Krause,Male,American,1937,
Doris Kreindler,Female,American,1901,1974
August Kreyenkamp,Male,German,1875,1950
Vasyl Krychevsky,Male,Ukrainian,1927,
Norbert Kricke,Male,German,1922,1984
Leon Krier,Male,Luxembourgish,1946,
Irving Kriesberg,Male,American,1919,2009
Paul Smith,Male,American,1907,
Les Krims,,American,,
Harold Krisel,Male,American,1920,
Ferdinand Kriwet,Male,German,1942,
William Kriz,Male,American,,
Barron Krody,Male,Nationality unknown,1936,
Per Krohg,Male,Norwegian,1889,1965
Krohl/Offenberg,,Nationality unknown,,
Abram Krol,Male,French,1919,2001
Leon Kroll,Male,American,1884,1974
Aleksei Kruchenykh,Male,Russian,1886,1969
Christian Kruck,Male,German,,
Louise Kruger,Female,American,1924,2013
Barbara Kruger,Female,American,1945,
Harry van Kruiningen,Male,Dutch,1906,
Germaine Krull,Female,Dutch,1897,1985
Alexander Z. Kruse,Male,American,1888,1972
Nicholas Krushenick,Male,American,1929,1999
Charles Krutch,Male,American,1887,1981
Michel Szulc Krzyzanowski,Male,Dutch,1949,
Allen Kubach,Male,American,,
Alfred Kubin,Male,Austrian,1877,1959
Shigeko Kubota,Female,Japanese,1937,2015
Alena Kucerova,Female,Czech,1935,
Rainer Kuchenmeister,Male,,1926,
Tetsumi Kudo,Male,Japanese,1935,1990
Ivan Kudriashov,Male,Russian,1896,1972
Gary Kuehn,Male,American,1939,
Rudolf Kügler,Male,German,1921,2013
Charles Kuhn,Male,Swiss,1903,
Heinrich Kühn,Male,German,1866,1944
Walt Kuhn,Male,American,1877,1949
O. J. Kuker Seattle WA,,American,,
Yrjö Kukkapuro,Male,Finnish,1933,
Mikhail Kuprianov,Male,Russian,,
Robert Kulicke,Male,American,1924,2007
Sugeru Kume,Male,Japanese,,
Kipton Kumler,,American,,
Yasuo Kuniyoshi,Male,American,1889,1953
Peter Kunz,Male,Swiss,,
Lawrence Kupferman,Male,American,1909,1982
Moshe Kupfermann,Male,Israeli,1926,2003
František Kupka,Male,Czech,1871,1957
Juan Kurchan,Male,Argentine,1913,1975
William Kurelek,Male,Canadian,1927,1977
Mervyn Kurlansky,Male,British,1936,
Seitaro Kuroda,Male,Japanese,1939,
Masayuki Kurokawa,Male,Japanese,1937,
Kuron - Gogol,,German,,
Helmuth Kurtz,Male,Swiss,1903,1959
Ant Kurvers,Male,Dutch,,
Maximilian Kurzweil,Male,Austrian,1867,1916
Kenji Kusaka,Male,Japanese,1936,
Yayoi Kusama,Female,Japanese,1929,
Rainer Küschall,Male,Swiss,1947,
Robert Kushner,Male,American,1949,
Waldemar Kutner,,Brazilian,1934,
Pavel Kuznetsov,Male,Russian,,
Paul Kwilecki,Male,American,1928,
K2 Design Studio,,Japanese,1993,
Jean L'Anselme,Male,French,1919,2011
Alain de La Bourdonnaye,Male,French,1930,
Roger de La Fresnaye,Male,French,1885,1925
Chet La More,Male,American,1908,1980
Terence La Noue,Male,American,1941,
Frank LaPena,Male,American,1937,
Jean-Emile Laboureur,Male,French,1887,1943
Syl Labrot,Male,American,1929,1977
Joseph Lacasse,Male,French,1894,1975
Gaston Lachaise,Male,American,1882,1935
Georges Lacombe,Male,French,1868,1916
Jacques Lacomblez,Male,Belgian,1934,
Charles Lacoste,Male,French,1870,1959
Richard Lacroix,Male,Canadian,1939,
George Ladas,Male,American,,
Justen Ladda,Male,German,1953,
Adriano Lagostina,Male,Italian,1915,
Massimo Lagostina,Male,Italian,1908,
Richard Lahey,Male,American,1893,1978
Wolfgang Laib,Male,German,1950,
Eleanore Laine,Female,American,,
Gerald Laing,Male,British,1936,2011
Maxime Lalanne,Male,French,1827,1886
Jennett Lam,Female,American,1911,1983
Wifredo Lam,Male,Cuban,1902,1982
Thomas Lamb,Male,American,1898,1988
Jacqueline Lamba,Female,French,1910,1993
Roberto De Lamónica,Male,Brazilian,1933,
Mark Lancaster,Male,British,1938,
Colin Lanceley,Male,Australian,1938,
Paul Landacre,Male,American,1893,1963
Jacob Landau,Male,American,1917,2001
Nils Landberg,Male,Swedish,1907,1991
Armin Landeck,Male,American,1905,1984
Ronnie Landfield,Male,American,1947,
Edoardo Landi,Male,Italian,1937,
Bengt Landin,Male,Swedish,1933,
Richard W. Landis,Male,American,1931,
Darrell Landrum,Male,American,1924,
Herman Landshoff,Male,American,1905,1986
Stanley Landsman,Male,American,1930,1984
Octave Landuyt,Male,Belgian,1922,
Lois Lane,Female,American,1948,
David Lang,Male,American,1929,
Helmut Lang,Male,German,1924,
Ed E. Langbein,Male,American,,
Dorothea Lange,Female,American,1895,1965
Otto Lange,Male,German,1879,1944
Wilfred O. Langille,Male,American,1895,1996
Ernst Langloh,Male,German,,
Juan Langlois,Male,Argentine,1926,
André Lanskoy,Male,French,1902,1976
Louis Lanzano,Male,American,1947,
Ernesto Bruno La Padula,Male,Italian,1902,1968
Charles Lapierre,,French,,
Tadeusz Lapinski,Male,Polish,,
Harry S. Lapow,Male,American,1909,1983
Pierre Laprade,Male,French,1875,1931
Magali Lara,Female,Mexican,,
Raoul François Larche,Male,French,1860,1912
Berto Lardera,Male,Nationality unknown,,
Mikhail Larionov,Male,Russian,1881,1964
Eugene Larkin,Male,American,1921,
Johannes Larsen,Male,Danish,1912,
Lisa Larsen,Female,American,1925,1959
William G. Larson,Male,American,1942,
Jacques-Henri Lartigue,Male,French,1894,1986
Mauricio Lasansky,Male,American,1914,2012
Pat Lasch,Female,American,1944,
Oskar Laske,Male,Austrian,1874,1951
Siegfried Laske,Male,Nationality unknown,,
Jonathan Lasker,Male,American,1948,
Ibram Lassaw,Male,American,1913,2003
Charles Lassiter,Male,American,1926,2005
Maria Lassnig,Female,Austrian,1919,2014
Ger Lataster,Male,Dutch,1920,2012
John Latham,Male,British,1921,2006
Sidney Laufman,Male,American,1891,1985
Clarence John Laughlin,Male,American,1905,1985
Jean Launois,Male,French,1898,1942
Marie Laurencin,Female,French,1883,1956
Henri Laurens,Male,French,1885,1954
John Laurent,Male,American,,
Robert Laurent,Male,American,1890,1970
Uwe Lausen,Male,German,1941,1970
Ray Lauzzana,Male,American,1941,
Warja Lavater,Female,Swiss,1913,2007
Alma R. Lavenson,Female,American,1897,1989
Jacob Lawrence,Male,American,1917,2000
Ernest Lawton (?),Male,British,,
Michael Lax,Male,American,1929,1999
"Elizabeth ""Grandma"" Layton",Female,American,1909,1993
Giulio Lazzotti,Male,Italian,1942,
A. Le Blondel,,French,,
Le Corbusier (Charles-Édouard Jeanneret),Male,French,1887,1965
Henri Le Fauconnier,Male,French,1881,1946
Jean Le Gac,Male,French,1936,
Gustave Le Gray,Male,French,1820,1884
Le Jeune,,French,,
Jean Le Moal,Male,French,1909,2007
Julio Le Parc,Male,Argentine,1928,
Guillaume Le Roy,Male,Dutch,,
Henri Le Secq,Male,French,1818,1882
Barry Le Va,Male,American,1941,
David Leach,Male,American,1946,
Alun Leach-Jones,Male,British,1937,
June Leaf,Female,American,1929,
Fernando Leal,Male,Mexican,1896,1964
Lawrence Lebduska,Male,American,1894,1966
J. J. Christian Lebeau,Male,Dutch,1878,1945
Lebegue,,French,,
Jean-Jacques Lebel,Male,French,1936,
Jan Lebenstein,Male,Polish,1930,1999
Dick Lebowitz,Male,American,1937,
Christopher Le Brun,Male,British,1951,
Rico Lebrun,Male,American,1900,1964
Juana Lecaros,Female,Chilean,1920,1993
Arthur Lee,Male,American,1881,1961
Baldwin S. Lee,Male,American,1951,
Joong Seop Lee,Male,Korean,1916,1956
Catherine Lee,Female,American,1950,
Colin Lee,Male,American,1953,
Dudley Lee,Male,American,,
Russell Lee,Male,American,1903,1986
Ung-no Lee,Male,Korean,1904,1989
Theyre Lee-Elliott,Male,British,1903,1988
Lege & Bergeron,,French,,
G. M. Lege,,French,,
Yoram Lehman,Male,Israeli,1939,
Wilhelm Lehmbruck,Male,German,1881,1919
Lehner & Mader,,,,
Leonard Lehrer,Male,American,1935,
Arthur Leipzig,Male,American,1918,
José Costa Leite,Male,Brazilian,,
Saul Leiter,Male,American,1923,2013
Philip V. Leivo,Male,American,,
Michael Lekakis,Male,American,1907,1987
Paul Lemagny,Male,French,1903,
Annette Lemieux,Female,American,1957,
Dietmar Lemke,Male,German,,
Georges Lemmen,Male,Belgian,1865,1916
Luis Lemus,Male,American,,
Stanley Lench,Male,British,1934,2000
Jan Lenica,Male,Polish,1928,2001
Thomas Lenk,Male,German,1933,2014
Candice Lenney,Female,American,1949,
John Lennon,Male,British,1940,1980
Eugen Lenz,,Swiss,1916,
Leonid (Leonid Berman),Male,American,1896,1976
Louis L. Lepoix,Male,French,1918,
Robert Lepper,Male,American,1906,1991
Stanislao Lepri,Male,Italian,1905,1980
Gustav Lepschy,Male,German,1942,
Norman Lerner,Male,American,1927,
Helmar Lerski,Male,Swiss,1871,1956
Danuta Lesczynska-Kluza,Female,Polish,1926,
Alfred Leslie,Male,American,1927,
Janusz Lesniak,,Polish,1947,
John Lesnick,Male,American,1953,
Gilbert Lesser,Male,American,1935,
Rudi Lesser,Male,American,,
Julian Lethbridge,Male,British,1947,
Anna Letycia Quadros,Female,Brazilian,,
Gerd Leufert,Male,Venezuelan,1914,1998
Herbert Leupin,Male,Swiss,1916,1999
Léo Leuppi,Male,Swiss,1893,1972
John Levee,Male,American,1924,
Hugo Leven,Male,German,1874,1956
Hans Levi,Male,American,1935,
Josef Levi,Male,American,1938,
Julian E. Levi,Male,American,1900,1982
Robert Levin,Male,American,1948,
Wayne Levin,Male,American,1945,
Arthur Levine,Male,American,,
Jack Levine,Male,American,1915,2010
Les Levine,Male,American,1935,
Sherrie Levine,Female,American,1947,
Tom Levine,Male,American,1945,
Mon Levinson,Male,American,1926,2014
Leon Levinstein,Male,American,1910,1988
S. L. Levitsky,Male,French,1819,1898
Helen Levitt,Female,American,1913,2009
Alphonse Levy,Male,French,1843,1918
Julien Levy,Male,American,1906,1981
Martin Lewis,Male,American,1881,1962
Norman Lewis,Male,American,1909,1979
Wyndham Lewis,Male,British,1882,1957
Landès Lewitin,Male,American,1892,1966
Sol LeWitt,Male,American,1928,2007
Sonia Lewitzka,Female,Polish,1882,
Jay Leyda,Male,American,1910,1988
Ernst Van Leyden,Male,American,1892,1969
Léon Lhermitte,Male,French,1844,1925
André Lhote,Male,French,1885,1962
Georges Liautaud,Male,Haitian,1899,1991
Alexander Liberman,Male,American,1912,1999
Sol Libsohn,Male,American,1914,2001
Riccardo Licata,Male,Italian,,
Ernst Lichtblau,Male,American,1883,1963
Roy Lichtenstein,Male,American,1923,1997
John H. Lickert,Male,American,,
Jonas Lie,Male,American,,
Al Lieberman,Male,American,1939,
Max Liebermann,Male,German,1847,1935
Alphonse Liébert,Male,French,1827,1913
Klaus Liebig,Male,German,1936,1996
Jerome Liebling,Male,American,1924,2011
Liebowitz,,American,,
David Ligare,Male,American,1945,
Edwin Hale Lincoln,Male,American,1848,1938
Stig Lindberg,Male,Swedish,1916,1982
Linda Lindeberg,Female,American,1915,1973
Francesca Lindh,Female,Finnish,1931,
Richard Lindh,Male,Finnish,1929,
Richard Lindner,Male,American,1901,1978
Linda Lindroth,Female,American,1946,
O. Winston Link,Male,American,1914,2001
Leo Lionni,Male,American,1910,1999
Jacques Lipchitz,Male,American,1891,1973
Peter Lipman-Wulf,Male,American,1905,
Carol Lipper,Female,American,,
Richard Lippold,Male,American,1915,2002
Seymour Lipton,Male,American,1903,1986
Vera Lisková,Female,Czech,1924,1979
El Lissitzky,Male,Russian,1890,1941
Ross Littell,Male,American,1924,2000
Betty Clark Little,Female,American,,
Harvey Littleton,Male,American,1922,
Ludwig Littmann,Male,German,1946,
Israel Litwak,Male,American,1867,1952
Stephen Livick,Male,Canadian,1945,
Frank Lobdell,Male,American,1921,
Lobel,,French,,
Jean Locey,Female,American,1944,
Charles Locke,Male,American,1899,1983
George Lockwood,Male,American,1929,1969
Uwe Loesch,Male,German,1943,
Loescher & Petsch,,German,,
Compagnie de L'Esthétique Industrielle (CEI) - Raymond Loewy Paris,,,1952,
Maurice Loewy,Male,French,1833,1907
Berthold Löffler,Male,Austrian,1874,1960
Richard Paul Lohse,Male,Swiss,1902,1988
Alfred Lombard,Male,French,1884,1973
Eckersley Lombers,,British,,
Lois Long,Female,American,1918,
Richard Long,Male,British,1945,
Robert Longo,Male,American,1953,
Vincent Longo,Male,American,1923,
Adolph Loos,Male,Austrian,1870,1933
Fernando López Anaya,Male,Argentine,1907,1987
Domingo López,Male,American,1942,
José Dolores López,Male,American,1868,1937
Luis (López Loza) López,Male,Mexican,,
Antonio López García,Male,Spanish,1936,
Erle Loran,Male,American,1905,1999
Antonio Lorenzo,Male,Spanish,,
John Loring,Male,American,1939,
Lortz,,German,,
Reagan Louie,Male,American,1951,
Morris Louis,Male,American,1912,1962
Charles Loupot,Male,French,1892,1962
Jim Love,Male,American,1927,2005
Vreni Löwensberg,Female,Swiss,1912,1986
Lawrence Stephen Lowry,Male,British,1887,1976
Jesús Lozano,Male,Spanish,,
Lee Lozano,Female,American,1930,1999
Louis Lozowick,Male,American,1892,1973
Lu Chu Chuan,,Chinese,,
Dietrich Lubs,Male,German,1938,
Caroline Lucas,Female,American,,
Maximilian Luce,Male,French,1858,1941
Lucebert,Male,Dutch,1924,1994
Tekening Lucerbert,,Dutch,,
Thomas Lüchinger,Male,Swiss,1953,
Hans Luckhardt,Male,German,1890,1954
Ryah Ludins,Female,Nationality unknown,1896,1957
John Lueders-Booth,Male,American,1935,
Konrad Lueg,Male,German,1939,1996
Amador Lugo,Male,Mexican,,
Jan Lukas,Male,Czech,1915,
Sven Lukin,Male,American,1934,
Luktak,,Canadian,1928,
